video_idx,mse_diff
0,0.00139341
1,0.00074669
2,0.00042979
3,0.00032788
4,0.00042675
5,0.00078290
6,0.00102188
7,0.00118091
8,0.00058811
9,0.00070834
10,0.00068148
11,0.00050900
12,0.00073204
13,0.00089238
14,0.00088671
15,0.00058445
16,0.00120777
17,0.00044696
18,0.00039780
19,0.00117624
20,0.00052696
21,0.00036729
22,0.00041081
23,0.00161633
24,0.00095988
25,0.00070561
26,0.00091111
27,0.00072241
28,0.00199908
29,0.00048015
30,0.00072307
31,0.00081941
32,0.00044854
33,0.00054026
34,0.00095907
35,0.00163795
36,0.00041975
37,0.00039824
38,0.00082119
39,0.00036729
40,0.00061879
41,0.00072898
42,0.00059023
43,0.00065814
44,0.00039111
45,0.00023327
46,0.00028791
47,0.00075598
48,0.00048929
49,0.00101845
50,0.00045067
51,0.00041990
52,0.00077880
53,0.00075593
54,0.00034827
55,0.00089940
56,0.00039818
57,0.00031773
58,0.00048265
59,0.00055752
60,0.00029035
61,0.00060988
62,0.00054990
63,0.00085788
64,0.00141646
65,0.00047465
66,0.00062928
67,0.00040899
68,0.00074086
69,0.00097395
70,0.00045069
71,0.00078712
72,0.00034682
73,0.00077681
74,0.00051994
75,0.00069641
76,0.00057069
77,0.00034851
78,0.00043350
79,0.00044586
80,0.00054201
81,0.00153462
82,0.00103705
83,0.00060295
84,0.00080570
85,0.00085491
86,0.00051290
87,0.00031029
88,0.00127386
89,0.00036887
90,0.00026682
91,0.00033059
92,0.00026991
93,0.00054177
94,0.00043452
95,0.00082538
96,0.00026202
97,0.00069377
98,0.00081367
99,0.00100926
