video_idx,mse_diff
0,0.00120503
1,0.00053172
2,0.00037594
3,0.00028849
4,0.00033795
5,0.00070491
6,0.00088715
7,0.00090448
8,0.00048003
9,0.00062067
10,0.00064390
11,0.00040972
12,0.00058872
13,0.00077064
14,0.00078107
15,0.00054828
16,0.00091426
17,0.00029403
18,0.00029315
19,0.00078337
20,0.00052156
21,0.00035101
22,0.00037986
23,0.00121223
24,0.00088117
25,0.00063336
26,0.00077019
27,0.00066693
28,0.00169326
29,0.00044029
30,0.00050217
31,0.00076109
32,0.00044682
33,0.00049462
34,0.00074618
35,0.00145655
36,0.00033738
37,0.00040365
38,0.00072727
39,0.00032719
40,0.00059584
41,0.00052108
42,0.00041642
43,0.00065768
44,0.00036317
45,0.00020353
46,0.00030799
47,0.00066589
48,0.00042291
49,0.00087664
50,0.00040931
51,0.00045282
52,0.00069615
53,0.00097768
54,0.00035515
55,0.00081845
56,0.00034543
57,0.00030125
58,0.00038531
59,0.00055308
60,0.00027903
61,0.00052086
62,0.00045017
63,0.00083310
64,0.00119106
65,0.00036364
66,0.00051031
67,0.00032995
68,0.00059698
69,0.00084183
70,0.00037482
71,0.00069802
72,0.00031755
73,0.00065545
74,0.00045773
75,0.00054826
76,0.00050778
77,0.00035773
78,0.00041730
79,0.00033051
80,0.00052328
81,0.00101934
82,0.00091915
83,0.00053426
84,0.00072399
85,0.00088778
86,0.00038150
87,0.00034444
88,0.00118258
89,0.00032706
90,0.00020569
91,0.00033481
92,0.00024669
93,0.00049679
94,0.00035967
95,0.00070309
96,0.00023730
97,0.00062016
98,0.00062293
99,0.00084107
