video_idx,mse_diff
0,0.00103094
1,0.00053191
2,0.00035186
3,0.00026306
4,0.00031461
5,0.00065276
6,0.00090630
7,0.00088098
8,0.00043924
9,0.00055572
10,0.00068380
11,0.00035794
12,0.00057787
13,0.00076192
14,0.00071902
15,0.00055619
16,0.00080421
17,0.00023806
18,0.00031467
19,0.00067306
20,0.00051846
21,0.00030797
22,0.00037294
23,0.00113996
24,0.00080100
25,0.00057905
26,0.00069137
27,0.00061950
28,0.00149169
29,0.00040919
30,0.00053676
31,0.00062283
32,0.00041260
33,0.00042451
34,0.00070777
35,0.00130506
36,0.00031253
37,0.00034362
38,0.00063522
39,0.00032330
40,0.00066296
41,0.00048823
42,0.00040683
43,0.00069101
44,0.00034964
45,0.00019852
46,0.00026516
47,0.00069460
48,0.00037470
49,0.00086127
50,0.00037526
51,0.00038535
52,0.00065270
53,0.00091875
54,0.00033314
55,0.00078909
56,0.00033561
57,0.00027631
58,0.00037476
59,0.00050157
60,0.00023772
61,0.00044144
62,0.00042669
63,0.00070425
64,0.00119827
65,0.00036127
66,0.00045195
67,0.00028519
68,0.00049695
69,0.00082459
70,0.00034302
71,0.00067521
72,0.00029571
73,0.00060274
74,0.00040665
75,0.00051630
76,0.00047567
77,0.00033035
78,0.00036881
79,0.00033379
80,0.00048570
81,0.00096839
82,0.00078091
83,0.00051056
84,0.00065025
85,0.00083114
86,0.00034657
87,0.00028166
88,0.00106345
89,0.00027373
90,0.00020688
91,0.00035261
92,0.00021888
93,0.00043094
94,0.00029008
95,0.00067784
96,0.00021513
97,0.00056043
98,0.00063037
99,0.00081337
